Goggle#,FID,Description,VisitBy,Comments,SpotMon,ContMon,River,Easting,Northing
1,0,Lopwell Dam,NG/PB,Access to compound required for continuous monitoring - security clearly and issue,3,3,River Tavy,247464,64990
2,1,Denham Bridge,EGC,Massive river,Y,0,River Tavy,247689,67875
3,2,Denham Lodge Weir,EGC,Could not access - private garden,M,M,River Tavy,247636,68177
4,3,Grenofen Bridge,DL,"Good - well constrained bridge, good for flow sond and spot permission needed",Y,3,River Walkham,249002,70975
5,4,Walkham U/S con Tavy,NG,4x4 access to Watersmeet Cottages - U/S confluence with Walkham,2,0,River Walkham,247612,69880
6,5,Grenofen Bridge Weir,DL, derelict river structure busy footpath. ,Y,0,River Walkham,249098,70829
7,6,Gem Bridge,DL,Under viaduct - on busy path. Not secure,Y,0,River Walkham,249508,70509
8,7,Horrabridge weir,DL,Not secure for sensors,Y,0,River Walkham,251333,69906
9,8,Bedford Bridge,DL,Not secure for sensors good bank constraint ,Y,0,River Walkham,250406,70354
10,9,Weir U/S Horrabridge,DL, ,tbv,tbv,River Walkham,252261,69853
11,10,Walkhampton,DL, ,tbv,tbv,Black Brook,253311,69686
12,11,Black Brook U/S con Walkham,DL, ,tbv,tbv,Black Brook,252862,70187
13,12,Hickworthy Bridge,DL, ,tbv,tbv,River Walkham,253146,70529
14,13,Eggworthy House Bridge,DL, ,tbv,tbv,River Walkham,254198,72015
15,14,Merrivale Farm,DL,Might be interesting as only moorland,tbv,tbv,River Walkham,254984,75085
16,15,Grimstone Head Weir,DL,Possibly too far upstream,0,0,River Walkham,255295,77304
17,16,Withill Farm,DL, ,tbv,tbv,Unnamed trib of River Walkham,254875,72771
18,17,Bedford Road,DL,Has agricutural but not moorland catchment EA site road over culvert,Y,0,Unnamed trib of River Walkham,251647,69955
19,18,Sewage Works driveway,DL,No prper acsess from river side. ,Y,0,Unnamed trib of River Walkham,249946,70487
20,19,FB over Lumburn U/S conf Tavy,PB,No obvious access to location could be found.,0,0,River Lumburn,246628,71734
21,20,Shillamill,PB,Accessible for spot sampling from bridge (EA does here). Landowner (Shillamill/Buctor) not adverse to monitoring installation here.,Y,3,River Lumburn,246652,71947
22,21,Lumburn Bridge,PB,Accessible for spot sampling from bridge. Next to busy road.,Y,0,River Lumburn,245969,73094
23,22,Morwelldown Cannal viaduct Weir,PB,"Cannal monitoring possible - very accessible, but might be worth seeing if we can get access away from footpath as high traffic/shrine. V slow flow. Not possible to monitor main river here.",Y,0,River Lumburn,246264,72610
24,23,Middle Lumburn Bridge,PB,SWW have managed Septic tank here - overflows into river often. Lots of infilration into system. Access to water at their tank and monitoring (descriptive only) possible. Could be other monitoring in the area. Couldn't access under bridge to see flow constraint. ,Y,0,River Lumburn,245412,74228
